feature_id,total_times_active,average_activated_value,std_activated_value,total_times_active_hot,average_activated_value_hot,std_activated_value_hot,total_times_active_cold,average_activated_value_cold,std_activated_value_cold,delta_total_times_active,delta_average_activated_value
21101,238,0.647796,0.657837,83,0.544956,0.560269,155,0.702866,0.698351,-72,-0.15791
459,72,3.586611,1.949122,72,3.586611,1.949122,0,0.0,0.0,72,3.586611
5820,229,0.886716,0.76232,79,0.871721,0.711827,150,0.894614,0.787498,-71,-0.022893
23203,1321,1.025641,0.672085,696,0.938109,0.638425,625,1.123118,0.69483,71,-0.185009
4765,125,0.653616,0.543281,27,0.370052,0.321701,98,0.73174,0.565422,-71,-0.361688
5583,95,0.968337,1.091642,12,1.639107,1.796604,83,0.871359,0.907111,-71,0.767748
4458,71,1.308622,0.883557,0,0.0,0.0,71,1.308622,0.883557,-71,-1.308622
17788,75,3.690768,1.781866,73,3.636063,1.715007,2,5.68749,2.759089,71,-2.051427
7689,83,1.315991,1.505704,6,1.791088,3.128151,77,1.278971,1.289322,-71,0.512117
15702,85,4.363257,2.487413,7,2.434686,2.033277,78,4.536334,2.451065,-71,-2.101647
15866,365,3.049537,1.751387,217,2.844904,1.709949,148,3.349574,1.768118,69,-0.50467
21934,353,0.893304,0.817901,211,0.944293,0.837318,142,0.81754,0.782051,69,0.126752
24514,167,1.03968,0.862706,118,1.116993,0.897916,49,0.853498,0.738861,69,0.263495
412,363,1.2567,1.107369,147,1.168494,1.097968,216,1.316729,1.109719,-69,-0.148234
3826,107,0.441683,0.384691,88,0.46897,0.402753,19,0.315301,0.250384,69,0.153669
6014,75,0.957021,0.685218,72,0.96239,0.684335,3,0.82817,0.693719,69,0.134221
10357,680,1.497905,1.429041,374,1.577446,1.439097,306,1.400688,1.410576,68,0.176758
15293,74,1.299491,1.141394,3,0.26219,0.230721,71,1.343321,1.143762,-68,-1.081131
8157,90,1.123011,1.109373,11,0.7014,0.775259,79,1.181717,1.135865,-68,-0.480317
18821,2711,2.859475,1.761048,1322,2.599408,1.788275,1389,3.106998,1.698138,-67,-0.50759
14941,71,1.244755,1.035455,69,1.22841,1.04583,2,1.808647,0.005766,67,-0.580237
24415,97,2.349945,4.917233,15,4.945789,8.206653,82,1.875096,3.850211,-67,3.070693
4601,87,1.877912,1.685985,77,1.927458,1.700426,10,1.496409,1.517083,67,0.431049
7643,107,0.688955,0.638079,87,0.721667,0.635256,20,0.546657,0.630777,67,0.175011
17951,75,1.505546,1.192469,71,1.462281,1.058276,4,2.273502,2.481961,67,-0.811221
924,218,1.625209,1.35952,76,1.253485,1.408409,142,1.82416,1.289315,-66,-0.570675
23176,70,1.273752,0.875828,2,0.285261,0.276689,68,1.302826,0.870517,-66,-1.017564
2961,101,2.302258,1.901449,18,3.107643,2.61314,83,2.127596,1.65757,-65,0.980047
20280,587,1.373032,1.01427,261,1.196849,0.84898,326,1.514086,1.109309,-65,-0.317237
4117,101,4.258125,5.59566,83,3.680879,4.57843,18,6.919874,8.3912,65,-3.238995
12553,643,0.998919,0.879247,289,0.888422,0.791425,354,1.089128,0.935281,-65,-0.200705
18877,69,0.992114,0.95108,2,0.068425,0.012333,67,1.019687,0.951483,-65,-0.951262
13623,101,5.513041,5.665874,18,6.004547,8.951984,83,5.406449,4.649834,-65,0.598097
6371,68,3.919668,3.466388,66,3.701035,2.6754,2,11.134567,10.89497,64,-7.433532
10382,248,1.191604,0.872249,156,1.077778,0.775449,92,1.384613,0.985925,64,-0.306836
5451,1919,1.436266,0.808419,991,1.540003,0.764458,928,1.325486,0.838819,63,0.214517
7375,187,0.605603,0.484845,62,0.562573,0.442446,125,0.626945,0.503191,-63,-0.064372
8174,711,1.31621,0.975769,324,1.199075,0.963276,387,1.414276,0.975347,-63,-0.215201
18580,1037,0.910616,0.642081,550,0.927861,0.650865,487,0.89114,0.631447,63,0.036721
18738,165,0.865157,0.624876,51,0.825169,0.586165,114,0.883046,0.640631,-63,-0.057877
23410,91,0.581005,0.456993,14,0.687793,0.573638,77,0.561589,0.429574,-63,0.126204
10539,103,0.881279,0.756394,20,0.558005,0.397301,83,0.959176,0.800443,-63,-0.401171
17729,115,1.637264,1.286735,89,1.897309,1.306623,26,0.74711,0.674745,63,1.150199
3814,139,1.682004,1.649292,101,1.876839,1.630432,38,1.164155,1.586034,63,0.712683
5553,66,5.758909,9.788043,64,4.92726,7.158435,2,32.371657,28.132501,62,-27.444397
14133,342,0.966569,0.602083,140,1.177378,0.663525,202,0.820464,0.506421,-62,0.356914
12043,76,1.060076,1.069435,69,0.96886,0.916197,7,1.959204,1.803473,62,-0.990344
14506,64,1.051773,0.848393,1,1.212176,0.0,63,1.049227,0.854857,-62,0.16295
23752,102,1.644653,1.986662,20,2.540314,2.245169,82,1.426199,1.853814,-62,1.114115
12803,110,0.494826,0.473217,86,0.524374,0.486737,24,0.388946,0.403844,62,0.135428
23251,76,17.515185,10.853377,69,18.635375,10.417866,7,6.473314,8.649813,62,12.162061
664,789,5.988787,3.310498,425,5.664372,3.174326,364,6.367569,3.424044,61,-0.703197
20852,217,1.443188,1.245105,139,1.326438,1.168641,78,1.651243,1.345962,61,-0.324805
22261,171,0.491704,0.506042,55,0.389466,0.338689,116,0.540179,0.561962,-61,-0.150713
