feature_id,total_times_active,average_activated_value,std_activated_value,total_times_active_hot,average_activated_value_hot,std_activated_value_hot,total_times_active_cold,average_activated_value_cold,std_activated_value_cold,delta_total_times_active,delta_average_activated_value
361,1697,98.452823,82.557077,885,90.852577,79.279572,812,106.736343,85.218563,73,-15.883766
850,449,32.814798,12.350397,261,32.971632,12.037138,188,32.597065,12.76937,73,0.374567
1115,405,33.212049,10.233235,239,34.643121,10.79255,166,31.151649,8.977396,73,3.491472
38,451,24.659333,12.689804,262,26.034351,13.867001,189,22.753223,10.556487,73,3.281128
940,628,40.630413,18.891456,350,45.317279,21.104948,278,34.729682,13.525965,72,10.587597
6515,112,34.589996,9.243094,20,30.280664,5.411188,92,35.526807,9.629512,-72,-5.246143
62,634,33.363689,15.36805,281,29.04492,12.297723,353,36.801575,16.64716,-72,-7.756655
634,246,29.599744,13.300833,159,31.678639,12.851793,87,25.800383,13.268042,72,5.878256
346,2829,61.077322,25.703732,1450,61.828228,26.940826,1379,60.287754,24.310207,71,1.540473
411,527,38.058039,22.460114,299,36.288775,18.493813,228,40.378258,26.608022,71,-4.089483
471,603,35.367765,19.090988,337,33.990194,17.0851,266,37.113032,21.235576,71,-3.122838
3343,469,25.499418,8.356449,270,26.240267,9.158226,199,24.494247,7.001575,71,1.74602
10634,3795,42.513232,11.628813,1933,42.533327,11.52592,1862,42.492371,11.734638,71,0.040957
1161,113,31.05825,11.107169,21,30.720791,14.947419,92,31.135279,10.024889,-71,-0.414487
686,611,31.685392,12.765292,270,32.31413,13.194005,341,31.187565,12.392737,-71,1.126565
2299,115,27.35904,3.827943,22,28.138327,4.666164,93,27.174693,3.576482,-71,0.963634
419,494,34.970199,16.843003,282,34.230914,16.569306,212,35.953586,17.151008,70,-1.722672
1357,1148,26.798395,4.740842,609,27.063333,4.817321,539,26.49905,4.634732,70,0.564283
832,306,34.287188,12.80712,118,32.395567,12.43208,188,35.474481,12.896046,-70,-3.078914
489,263,24.16729,13.530818,166,24.457902,12.645762,97,23.669953,14.911038,69,0.787948
76,1092,56.018243,9.765565,512,57.40531,7.573955,580,54.793798,11.212259,-68,2.611512
368,1930,44.960277,21.98976,999,47.70189,23.979703,931,42.018417,19.200821,68,5.683474
154,814,40.366915,21.969071,441,39.230316,21.525988,373,41.710722,22.407414,68,-2.480406
1056,220,31.979379,8.696104,144,33.384398,8.307119,76,29.317238,8.793558,68,4.06716
1393,140,29.838708,9.702636,36,24.027228,6.000982,104,31.850374,9.925991,-68,-7.823145
808,150,35.631204,15.599968,41,26.79884,9.36266,109,38.95347,16.172322,-68,-12.154629
632,460,29.838901,14.709704,264,30.702586,14.348049,196,28.675569,15.105367,68,2.027017
1503,144,28.642738,6.393523,106,28.390244,5.762661,38,29.347066,7.848269,68,-0.956822
138,3181,54.501856,36.31284,1624,55.260165,36.977288,1557,53.710916,35.58938,67,1.549249
7351,705,60.733944,24.472192,319,60.613457,24.980757,386,60.833518,24.043329,-67,-0.220061
459,569,49.453727,20.206062,251,48.185971,19.312289,318,50.454377,20.830116,-67,-2.268406
13765,401,35.96285,6.432926,167,35.704959,6.317237,234,36.146901,6.507987,-67,-0.441942
3886,69,43.973574,17.159197,1,24.233437,0.0,68,44.263871,17.115878,-67,-20.030434
